cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
1.0,5.0576931243995205e-05,1.0,2.532236248953268e-05,7.589931192342192e-05,1.0,1.1974146119086981e-08,1.0,1.373467966914177e-06,1.3353042049857322e-06,0.0002500000118743628
1.0,2.6147121388930827e-05,1.0,4.298534622648731e-05,6.913246033946052e-05,1.0,1.1974146119086981e-08,1.0,1.1956941534663201e-06,1.1656883316391031e-06,0.0002500000118743628
1.0,2.7536225388757885e-05,1.0,3.27215384459123e-05,6.02577711106278e-05,1.0,1.1974146119086981e-08,1.0,1.1247573183936765e-06,1.1000698805219145e-06,0.0001250000059371814
1.0,2.9956205253256485e-05,1.0,3.182576983817853e-05,6.178198236739263e-05,1.0,1.1974146119086981e-08,1.0,1.0333195632483694e-06,1.0158404393223464e-06,0.0001250000059371814
1.0,2.898448656196706e-05,1.0,2.6694890038925223e-05,5.567936386796646e-05,1.0,1.1974146119086981e-08,1.0,9.961167961591855e-07,9.827202802625834e-07,0.0001250000059371814
1.0,2.3142116333474405e-05,1.0,2.1494508473551832e-05,4.463662480702624e-05,1.0,1.1974146119086981e-08,1.0,9.519702075522218e-07,9.398453357789549e-07,0.0001250000059371814
1.0,3.205289249308407e-05,1.0,2.62048706645146e-05,5.825776679557748e-05,1.0,1.1974146119086981e-08,1.0,9.242431815437158e-07,9.137233405454026e-07,0.0001250000059371814
1.0,3.39946782332845e-05,1.0,3.726864088093862e-05,7.126331183826551e-05,1.0,1.1974146119086981e-08,1.0,8.953446695159073e-07,8.861651394909131e-07,6.25000029685907e-05
1.0,2.7327214411343448e-05,1.0,1.948355566128157e-05,4.681076461565681e-05,1.0,1.1974146119086981e-08,1.0,8.693953645888541e-07,8.609204655840585e-07,6.25000029685907e-05
1.0,5.196927668293938e-05,1.0,4.4990119931753725e-05,9.695938933873549e-05,1.0,1.1974146119086981e-08,1.0,8.448909625258239e-07,8.376550795219373e-07,6.25000029685907e-05
1.0,3.7490532122319564e-05,1.0,2.1487379854079336e-05,5.897790833842009e-05,1.0,1.1974146119086981e-08,1.0,8.398920954277855e-07,8.33757212603814e-07,6.25000029685907e-05
1.0,3.4079010220011696e-05,1.0,1.9352894014446065e-05,5.343190787243657e-05,1.0,1.1974146119086981e-08,1.0,8.188171705114655e-07,8.135710913848015e-07,6.25000029685907e-05
1.0,2.440182288410142e-05,1.0,2.3028986106510274e-05,4.74308108096011e-05,1.0,1.1974146119086981e-08,1.0,8.049286748246232e-07,7.999629474397807e-07,3.125000148429535e-05
